# Ising Model Monte Carlo Simulation Results
# Lattice size: 16x16, J = 1
# Columns: T, M_avg, Mabs_avg, Msq_avg, Chi_M, Chi_Mabs, E_avg, Esq_avg, C_v, Binder
Temperature,Magnetization,AbsMagnetization,MagSqAvg,Susceptibility_M,Susceptibility_Mabs,Energy,EnergySqAvg,SpecificHeat,BinderParameter
8,0.000250391,0.0399168,0.64161,0.0801993,0.029214,-0.257005,19.0679,0.033731,-253.147
7.9,-3.71094e-05,0.0395363,0.630535,0.0798145,0.0291615,-0.25893,19.3088,0.0343754,-254.715
7.8,0.000812891,0.0398355,0.637484,0.081707,0.0296468,-0.264335,20.1068,0.0364783,-249.816
7.7,-0.000781641,0.0396324,0.630576,0.0818726,0.0296713,-0.267702,20.5168,0.0366113,-249.651
7.6,0.000407813,0.0395938,0.6315,0.0830865,0.0302865,-0.270643,20.9371,0.0378414,-256.092
7.5,-0.000351172,0.0394082,0.626907,0.0835834,0.0305783,-0.275544,21.6146,0.0387191,-253.98
7.4,-6.75781e-05,0.0391762,0.619187,0.0836737,0.030579,-0.277755,21.9924,0.0409523,-253.819
7.3,-5.66406e-05,0.0388285,0.606976,0.0831472,0.0302762,-0.282686,22.658,0.041297,-251.822
7.2,-6.25e-06,0.0387336,0.605242,0.0840614,0.0307177,-0.286084,23.1457,0.0423172,-252.299
7.1,2.34375e-06,0.039193,0.617045,0.0869078,0.031522,-0.290676,23.8565,0.0441666,-252.706
7,-0.000151172,0.0387324,0.60437,0.0863377,0.031474,-0.296848,24.7526,0.0447778,-251.216
6.9,0.000319141,0.038648,0.603332,0.0874356,0.032022,-0.299922,25.2457,0.0465806,-257.05
6.8,6.36719e-05,0.0380559,0.583813,0.0858547,0.0313326,-0.306141,26.2177,0.0481141,-253.549
6.7,-0.000413672,0.0383629,0.591438,0.0882678,0.0320418,-0.30847,26.5559,0.0489305,-251.93
6.6,-0.000455078,0.0381105,0.584609,0.088569,0.032241,-0.314607,27.5834,0.0515418,-251.228
6.5,5.23438e-05,0.0379227,0.581419,0.0894489,0.0328089,-0.3198,28.4437,0.0535404,-255.307
6.4,-0.000238281,0.0377781,0.577106,0.0901706,0.0330854,-0.325465,29.3572,0.0546833,-256.942
6.3,0.000335156,0.0375594,0.571233,0.0906673,0.0333479,-0.330506,30.2415,0.0573821,-255.631
6.2,9.80469e-05,0.0373449,0.563951,0.0909594,0.0333745,-0.338272,31.5514,0.0587364,-255.599
6.1,0.00010625,0.037107,0.557861,0.0914521,0.0336666,-0.343576,32.4983,0.0612445,-255.234
6,-0.000257031,0.0371125,0.557773,0.0929594,0.0341958,-0.348934,33.476,0.0640732,-257.409
5.9,-0.000445313,0.0370477,0.552547,0.0936434,0.0340982,-0.355722,34.688,0.0659069,-254.254
5.8,-5.50781e-05,0.0368691,0.548165,0.094511,0.034513,-0.362545,36.0108,0.0702259,-254.554
5.7,0.000991406,0.0370008,0.554802,0.0972894,0.0358461,-0.368733,37.1223,0.0712696,-257.289
5.6,-0.000390234,0.0363449,0.53238,0.0950609,0.0346815,-0.378248,38.9674,0.0746531,-253.606
5.5,-3.125e-06,0.0364758,0.537458,0.0977196,0.0357917,-0.385302,40.3778,0.0784374,-252.668
5.4,-0.000133203,0.0356934,0.519976,0.0962909,0.035894,-0.393783,42.0856,0.0819271,-257.472
5.3,-1.60156e-05,0.0358488,0.518577,0.0978447,0.0357702,-0.401195,43.6179,0.0858992,-254.545
5.2,-5.54688e-05,0.0356,0.510608,0.0981936,0.0358007,-0.41002,45.4355,0.0886747,-251.151
5.1,-0.000450781,0.0354141,0.505502,0.0991077,0.0361642,-0.417595,47.0555,0.0927661,-253.253
5,-0.000255859,0.0353129,0.503551,0.100707,0.0368637,-0.428971,49.5286,0.0968161,-253.714
4.9,0.000637109,0.0347996,0.491287,0.100241,0.0369933,-0.44072,52.1862,0.102557,-255.753
4.8,0.000766406,0.0346469,0.482698,0.100531,0.0365405,-0.448238,53.9293,0.108272,-247.893
4.7,0.000104297,0.0341129,0.473446,0.100733,0.0373493,-0.459565,56.5776,0.113648,-257.721
